fetches,wallclock,fetch_ms,fetch_http,bytes,probe,probe_ms,note
102,17:03:15,36,200,3227,,0,
103,17:03:15,46,200,3124,,0,
104,17:03:15,38,200,3270,,0,
105,17:03:15,35,200,3143,,0,
106,17:03:15,44,200,3344,,0,
107,17:03:15,43,200,3185,,0,
108,17:03:15,36,200,3342,,0,
109,17:03:15,37,200,3177,,0,
110,17:03:15,46,200,3368,,0,
111,17:03:15,38,200,3146,,0,
112,17:03:15,38,200,3328,,0,
113,17:03:16,47,200,3134,,0,
114,17:03:16,44,200,3343,,0,
115,17:03:16,40,200,3168,,0,
116,17:03:16,50,200,3322,,0,
117,17:03:16,38,200,3158,,0,
118,17:03:16,38,200,3354,,0,
119,17:03:16,49,200,3139,,0,
120,17:03:25,39,200,3368,OK,8886,
121,17:03:25,34,200,3105,,0,
122,17:03:25,50,200,3353,,0,
123,17:03:25,39,200,3108,,0,
124,17:03:25,41,200,3329,,0,
125,17:03:25,46,200,3107,,0,
126,17:03:25,40,200,3291,,0,
127,17:03:25,36,200,3010,,0,
128,17:03:25,43,200,3272,,0,
129,17:03:25,39,200,3005,,0,
130,17:03:25,39,200,3261,,0,
131,17:03:25,37,200,3010,,0,
132,17:03:25,46,200,3247,,0,
133,17:03:25,38,200,3038,,0,
134,17:03:25,41,200,3139,,0,
135,17:03:25,48,200,2957,,0,
136,17:03:25,38,200,3179,,0,
137,17:03:25,38,200,2998,,0,
138,17:03:25,47,200,3242,,0,
139,17:03:26,39,200,3027,,0,
140,17:03:26,40,200,3157,,0,
141,17:03:26,42,200,2991,,0,
142,17:03:26,39,200,3144,,0,
143,17:03:26,37,200,3032,,0,
144,17:03:26,42,200,3219,,0,
145,17:03:26,51,200,2978,,0,
146,17:03:26,38,200,3123,,0,
147,17:03:26,37,200,2884,,0,
148,17:03:26,49,200,3108,,0,
149,17:03:26,38,200,2960,,0,
150,17:03:26,37,200,3108,,0,
151,17:03:26,52,200,2988,,0,
152,17:03:26,37,200,3131,,0,
153,17:03:26,38,200,2994,,0,
154,17:03:26,46,200,3135,,0,
155,17:03:26,53,200,3046,,0,
156,17:03:26,42,200,3175,,0,
157,17:03:26,52,200,2986,,0,
158,17:03:26,39,200,3226,,0,
159,17:03:26,38,200,3058,,0,
160,17:03:35,47,200,3227,OK,8949,
161,17:03:35,35,200,3041,,0,
162,17:03:35,45,200,3229,,0,
163,17:03:35,36,200,3028,,0,
164,17:03:36,38,200,3246,,0,
165,17:03:36,50,200,2999,,0,
166,17:03:36,40,200,3328,,0,
167,17:03:36,43,200,3106,,0,
168,17:03:36,47,200,3275,,0,
169,17:03:36,39,200,3054,,0,
170,17:03:36,37,200,3242,,0,
171,17:03:36,45,200,2984,,0,
172,17:03:36,43,200,3247,,0,
173,17:03:36,37,200,3088,,0,
174,17:03:36,48,200,3325,,0,
175,17:03:36,37,200,3051,,0,
176,17:03:36,38,200,3249,,0,
177,17:03:36,42,200,3081,,0,
178,17:03:36,43,200,3263,,0,
179,17:03:36,40,200,3065,,0,
180,17:03:36,40,200,3202,,0,
181,17:03:36,49,200,3036,,0,
182,17:03:36,40,200,3191,,0,
183,17:03:36,37,200,3078,,0,
184,17:03:36,49,200,3225,,0,
185,17:03:36,40,200,3047,,0,
186,17:03:36,36,200,3196,,0,
187,17:03:36,44,200,3078,,0,
188,17:03:37,44,200,3217,,0,
189,17:03:37,41,200,3021,,0,
190,17:03:37,41,200,3247,,0,
191,17:03:37,44,200,3044,,0,
192,17:03:37,35,200,3227,,0,
193,17:03:37,37,200,3059,,0,
194,17:03:37,47,200,3219,,0,
195,17:03:37,43,200,3010,,0,
196,17:03:37,39,200,3204,,0,
197,17:03:37,47,200,3031,,0,
198,17:03:37,40,200,3169,,0,
199,17:03:37,39,200,3022,,0,
200,17:03:46,44,200,3151,OK,8960,
201,17:03:46,40,200,3280,,0,
202,17:03:46,46,200,3227,,0,
203,17:03:46,35,200,3124,,0,
204,17:03:46,37,200,3270,,0,
205,17:03:46,42,200,3143,,0,
206,17:03:46,38,200,3344,,0,
207,17:03:46,37,200,3185,,0,
208,17:03:46,49,200,3342,,0,
209,17:03:46,38,200,3177,,0,
210,17:03:46,38,200,3368,,0,
211,17:03:46,45,200,3146,,0,
212,17:03:46,39,200,3328,,0,
213,17:03:47,37,200,3134,,0,
214,17:03:47,37,200,3343,,0,
215,17:03:47,46,200,3168,,0,
216,17:03:47,35,200,3322,,0,
217,17:03:47,39,200,3158,,0,
218,17:03:47,48,200,3354,,0,
219,17:03:47,38,200,3139,,0,
220,17:03:47,39,200,3368,,0,
221,17:03:47,52,200,3105,,0,
222,17:03:47,47,200,3353,,0,
223,17:03:47,37,200,3108,,0,
224,17:03:47,49,200,3329,,0,
225,17:03:47,39,200,3107,,0,
226,17:03:47,36,200,3291,,0,
227,17:03:47,48,200,3010,,0,
228,17:03:47,37,200,3272,,0,
229,17:03:47,39,200,3005,,0,
230,17:03:47,44,200,3261,,0,
231,17:03:47,41,200,3010,,0,
232,17:03:47,39,200,3247,,0,
233,17:03:47,37,200,3038,,0,
234,17:03:47,42,200,3139,,0,
235,17:03:47,50,200,2957,,0,
236,17:03:47,40,200,3179,,0,
237,17:03:48,47,200,2998,,0,
238,17:03:48,40,200,3242,,0,
239,17:03:48,38,200,3027,,0,
240,17:03:57,49,200,3157,OK,8925,
241,17:03:57,34,200,2991,,0,
242,17:03:57,53,200,3144,,0,
243,17:03:57,34,200,3032,,0,
244,17:03:57,37,200,3219,,0,
245,17:03:57,49,200,2978,,0,
246,17:03:57,38,200,3123,,0,
247,17:03:57,38,200,2884,,0,
248,17:03:57,44,200,3108,,0,
249,17:03:57,39,200,2960,,0,
250,17:03:57,40,200,3108,,0,
251,17:03:57,39,200,2988,,0,
252,17:03:57,42,200,3131,,0,
253,17:03:57,39,200,2994,,0,
254,17:03:57,39,200,3135,,0,
255,17:03:57,51,200,3046,,0,
256,17:03:57,39,200,3175,,0,
257,17:03:57,40,200,2986,,0,
258,17:03:57,49,200,3226,,0,
259,17:03:57,39,200,3058,,0,
260,17:03:57,38,200,3227,,0,
261,17:03:57,44,200,3041,,0,
262,17:03:57,42,200,3229,,0,
263,17:03:58,38,200,3028,,0,
264,17:03:58,42,200,3246,,0,
265,17:03:58,41,200,2999,,0,
266,17:03:58,41,200,3328,,0,
267,17:03:58,41,200,3106,,0,
268,17:03:58,43,200,3275,,0,
269,17:03:58,45,200,3054,,0,
270,17:03:58,34,200,3242,,0,
271,17:03:58,51,200,2984,,0,
272,17:03:58,38,200,3247,,0,
273,17:03:58,38,200,3088,,0,
274,17:03:58,50,200,3325,,0,
275,17:03:58,53,200,3051,,0,
276,17:03:58,39,200,3249,,0,
277,17:03:58,47,200,3081,,0,
278,17:03:58,40,200,3263,,0,
279,17:03:58,37,200,3065,,0,
280,17:04:07,47,200,3202,OK,8925,
281,17:04:07,35,200,3036,,0,
282,17:04:07,48,200,3191,,0,
283,17:04:07,42,200,3078,,0,
284,17:04:07,39,200,3225,,0,
285,17:04:07,43,200,3047,,0,
286,17:04:07,39,200,3196,,0,
287,17:04:07,39,200,3078,,0,
288,17:04:07,40,200,3217,,0,
289,17:04:08,41,200,3021,,0,
290,17:04:08,38,200,3247,,0,
291,17:04:08,37,200,3044,,0,
292,17:04:08,51,200,3227,,0,
293,17:04:08,38,200,3059,,0,
294,17:04:08,40,200,3219,,0,
295,17:04:08,46,200,3010,,0,
296,17:04:08,38,200,3204,,0,
297,17:04:08,40,200,3031,,0,
298,17:04:08,42,200,3169,,0,
299,17:04:08,46,200,3022,,0,
300,17:04:08,40,200,3151,,0,
301,17:04:08,35,200,3280,,0,
302,17:04:08,42,200,3227,,0,
303,17:04:08,39,200,3124,,0,
304,17:04:08,37,200,3270,,0,
305,17:04:08,48,200,3143,,0,
306,17:04:08,38,200,3344,,0,
307,17:04:08,36,200,3185,,0,
308,17:04:08,45,200,3342,,0,
309,17:04:08,38,200,3177,,0,
310,17:04:08,38,200,3368,,0,
311,17:04:08,37,200,3146,,0,
312,17:04:08,45,200,3328,,0,
313,17:04:09,36,200,3134,,0,
314,17:04:09,39,200,3343,,0,
315,17:04:09,50,200,3168,,0,
316,17:04:09,50,200,3322,,0,
317,17:04:09,40,200,3158,,0,
318,17:04:09,46,200,3354,,0,
319,17:04:09,40,200,3139,,0,
320,17:04:18,37,200,3368,OK,8867,
321,17:04:18,31,200,3105,,0,
322,17:04:18,44,200,3353,,0,
323,17:04:18,40,200,3108,,0,
324,17:04:18,40,200,3329,,0,
325,17:04:18,40,200,3107,,0,
326,17:04:18,40,200,3291,,0,
327,17:04:18,35,200,3010,,0,
328,17:04:18,45,200,3272,,0,
329,17:04:18,41,200,3005,,0,
330,17:04:18,37,200,3261,,0,
331,17:04:18,44,200,3010,,0,
332,17:04:18,41,200,3247,,0,
333,17:04:18,34,200,3038,,0,
334,17:04:18,38,200,3139,,0,
335,17:04:18,44,200,2957,,0,
336,17:04:18,38,200,3179,,0,
337,17:04:18,38,200,2998,,0,
338,17:04:18,50,200,3242,,0,
339,17:04:18,43,200,3027,,0,
340,17:04:18,35,200,3157,,0,
341,17:04:19,47,200,2991,,0,
342,17:04:19,39,200,3144,,0,
343,17:04:19,38,200,3032,,0,
344,17:04:19,46,200,3219,,0,
345,17:04:19,38,200,2978,,0,
346,17:04:19,38,200,3123,,0,
347,17:04:19,42,200,2884,,0,
348,17:04:19,43,200,3108,,0,
349,17:04:19,47,200,2960,,0,
350,17:04:19,33,200,3108,,0,
351,17:04:19,50,200,2988,,0,
352,17:04:19,40,200,3131,,0,
353,17:04:19,37,200,2994,,0,
354,17:04:19,50,200,3135,,0,
355,17:04:19,52,200,3046,,0,
