frame,wallclock,cycle_ms,iso,iso_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,medY,meanY,note
188,05:50:06,10082,1600,40,97,200,200,32,1,50,200,IMG_0438.CR3,0.00042,0.00025,
189,05:50:18,10074,1250,45,90,200,200,28,1,44,200,IMG_0439.CR3,0.00043,0.00026,
190,05:50:30,10077,1600,32,112,200,200,28,1,46,200,IMG_0440.CR3,0.00042,0.00024,
191,05:50:42,10085,1250,39,107,200,200,35,1,48,200,IMG_0441.CR3,0.00043,0.00025,
192,05:50:54,10076,1600,40,101,200,200,36,1,39,200,IMG_0442.CR3,0.00042,0.00025,
193,05:51:06,10082,1250,34,95,200,200,31,1,48,200,IMG_0443.CR3,0.00043,0.00026,
194,05:51:18,10070,1600,34,105,200,200,29,1,39,200,IMG_0444.CR3,0.00043,0.00026,
195,05:51:30,10080,1250,35,106,200,200,32,1,47,200,IMG_0445.CR3,0.00043,0.00026,
196,05:51:42,10072,1600,40,96,200,200,28,1,43,200,IMG_0446.CR3,0.00042,0.00024,
197,05:51:54,10079,1250,40,97,200,200,30,1,46,200,IMG_0447.CR3,0.00043,0.00026,
198,05:52:06,10079,1600,33,109,200,200,26,1,50,200,IMG_0448.CR3,0.00042,0.00025,
199,05:52:18,10077,1250,34,108,200,200,32,1,44,200,IMG_0449.CR3,0.00043,0.00025,
200,05:52:30,10075,1600,38,104,200,200,28,1,45,200,IMG_0450.CR3,0.00042,0.00025,
201,05:52:43,10066,1250,37,88,200,200,24,1,40,200,IMG_0451.CR3,0.00043,0.00026,
202,05:52:55,10072,1600,37,95,200,200,25,1,44,200,IMG_0452.CR3,0.00042,0.00025,
203,05:53:07,10082,1250,35,104,200,200,33,1,48,200,IMG_0453.CR3,0.00042,0.00025,
204,05:53:19,10077,1600,42,92,200,200,29,1,47,200,IMG_0454.CR3,0.00042,0.00025,
205,05:53:31,10078,1250,42,93,200,200,28,1,48,200,IMG_0455.CR3,0.00043,0.00026,
206,05:53:43,10076,1600,40,96,200,200,27,1,47,200,IMG_0456.CR3,0.00041,0.00024,
207,05:53:55,10081,1250,39,98,200,200,30,1,50,200,IMG_0457.CR3,0.00043,0.00026,
208,05:54:07,10073,1600,32,101,200,200,33,1,38,200,IMG_0458.CR3,0.00042,0.00024,
209,05:54:19,10076,1250,38,97,200,200,26,1,48,200,IMG_0459.CR3,0.00043,0.00026,
210,05:54:31,10080,1600,37,103,200,200,28,1,50,200,IMG_0460.CR3,0.00042,0.00025,
